#Survey waypoint list: Easting, Northing (UTM32)
549552.6172,6222630.9518,,"49180-4"
549552.9922,6222633.4228,,"49180-3"
549553.6295,6222637.6231,,"49180-2"
549554.1925,6222641.3301,,"49180-1"
549532.8231,6222633.9864,,"49160-4"
549533.2041,6222636.4564,,"49160-3"
549533.8514,6222640.6548,,"49160-2"
549534.4234,6222644.3599,,"49160-1"
549513.0407,6222637.0630,,"49140-4"
549513.4267,6222639.5321,,"49140-3"
549514.0830,6222643.7296,,"49140-2"
549514.6620,6222647.4337,,"49140-1"
549493.2650,6222640.1787,,"49120-4"
549493.6560,6222642.6468,,"49120-3"
549494.3203,6222646.8434,,"49120-2"
549494.9073,6222650.5466,,"49120-1"
549473.5020,6222643.3255,,"49100-4"
549473.8970,6222645.7937,,"49100-3"
549474.5674,6222649.9883,,"49100-2"
549475.1594,6222653.6905,,"49100-1"
549453.7459,6222646.5004,,"49080-4"
549454.1439,6222648.9675,,"49080-3"
549454.8193,6222653.1622,,"49080-2"
549455.4153,6222656.8634,,"49080-1"
549433.9966,6222649.6952,,"49060-4"
549434.3966,6222652.1624,,"49060-3"
549435.0760,6222656.3561,,"49060-2"
549435.6760,6222660.0563,,"49060-1"
549414.2522,6222652.9071,,"49040-4"
549414.6542,6222655.3743,,"49040-3"
549415.3376,6222659.5680,,"49040-2"
549415.9406,6222663.2673,,"49040-1"
549394.5138,6222656.1301,,"49020-4"
549394.9168,6222658.5963,,"49020-3"
549395.6022,6222662.7890,,"49020-2"
549396.2072,6222666.4893,,"49020-1"
549374.7802,6222659.3570,,"49000-4"
549375.1842,6222661.8232,,"49000-3"
549375.8696,6222666.0160,,"49000-2"
549376.4746,6222669.7162,,"49000-1"
549355.0487,6222662.5840,,"48980-4"
549355.4527,6222665.0502,,"48980-3"
549356.1381,6222669.2430,,"48980-2"
549356.7441,6222672.9432,,"48980-1"
549335.3172,6222665.8110,,"48960-4"
549335.7212,6222668.2772,,"48960-3"
549336.4066,6222672.4699,,"48960-2"
549337.0126,6222676.1702,,"48960-1"
